bit	SMARTS	description
0	?	not defined
1	?	isotope (not defined)
2	[#104]	atomic num >103
3	[#32,#33,#34,#50,#51,#52,#82,#83,#84]	Group IVa,Va,VIa Rows 4-6
4	[Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr]	Actinide
5	[Sc,Ti,Y,Zr,Hf]	Group IIIB,IVB (Sc...)
6	[La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu]	Lanthanide
7	[V,Cr,Mn,Nb,Mo,Tc,Ta,W,Re]	Group VB,VIB,VIIB
8	[!#6;!#1]1~*~*~*~1	QAAA@1
9	[Fe,Co,Ni,Ru,Rh,Pd,Os,Ir,Pt]	Group VIII (Fe...)
10	[Be,Mg,Ca,Sr,Ba,Ra]	Group IIa (Alkaline earth)
11	*1~*~*~*~1	4M Ring
12	[Cu,Zn,Ag,Cd,Au,Hg]	Group IB,IIB (Cu..)
13	[#8]~[#7](~[#6])~[#6]	ON(C)C
14	[#16]-[#16]	S-S
15	[#8]~[#6](~[#8])~[#8]	OC(O)O
16	[!#6;!#1]1~*~*~1	QAA@1
17	[#6]#[#6]	CTC
18	[#5,#13,#31,#49,#81]	Group IIIA (B...)
19	*1~*~*~*~*~*~*~1	7M Ring
20	[#14]	Si
21	[#6]=[#6](~[!#6;!#1])~[!#6;!#1]	C=C(Q)Q
22	*1~*~*~1	3M Ring
23	[#7]~[#6](~[#8])~[#8]	NC(O)O
24	[#7]-[#8]	N-O
25	[#7]~[#6](~[#7])~[#7]	NC(N)N
26	[#6]=;@[#6](@*)@*	C$=C($A)$A
27	[I]	I
28	[!#6;!#1]~[CH2]~[!#6;!#1]	QCH2Q
29	[#15]	P
30	[#6]~[!#6;!#1](~[#6])(~[#6])~*	CQ(C)(C)A
31	[!#6;!#1]~[F,Cl,Br,I]	QX
32	[#6]~[#16]~[#7]	CSN
33	[#7]~[#16]	NS
34	[CH2]=*	CH2=A
35	[Li,Na,K,Rb,Cs,Fr]	Group IA (Alkali Metal)
36	[#16R]	S Heterocycle
37	[#7]~[#6](~[#8])~[#7]	NC(O)N
38	[#7]~[#6](~[#6])~[#7]	NC(C)N
39	[#8]~[#16](~[#8])~[#8]	OS(O)O
40	[#16]-[#8]	S-O
41	[#6]#[#7]	CTN
42	F	F
43	[!#6;!#1;!H0]~*~[!#6;!#1;!H0]	QHAQH
44	[!#1;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#35;!#53]	OTHER
45	[#6]=[#6]~[#7]	C=CN
46	Br	BR
47	[#16]~*~[#7]	SAN
48	[#8]~[!#6;!#1](~[#8])(~[#8])	OQ(O)O
49	[!+0]	CHARGE
50	[#6]=[#6](~[#6])~[#6]	C=C(C)C
