"latin_name","climate","ecozone","food","migrate5","migrate2","species_number","source"
"Pimephales promelas","C_D","TH","D_H","potamodromous","migration",1,"ecotox"
"Lepomis macrochirus","D_C","TH","H_P_C","no_migration","no_migration",2,"ecotox"
"Salvelinus fontinalis","D_M","TH_MA","C","diadromous","migration",3,"ecotox"
"Oncorhynchus mykiss","M_D","MP_TH","C","diadromous","migration",4,"ecotox"
"Daphnia magna","C_D","TH_TP","P_D","no_migration","no_migration",5,"ecotox"
"Daphnia pulex","C_D","TH_TA","P_D","no_migration","no_migration",8,"ecotox"
"Carcinus maenas","M","MA_MP_MI","D_C_S","no_migration","no_migration",10,"ecotox"
"Crangon crangon","M","MA","D_S","no_migration","no_migration",11,"ecotox"
"Gambusia affinis","A_C","TP_TH_TN_TA","C","no_migration","no_migration",16,"ecotox"
"Semotilus atromaculatus","C_D","TH","C_H_D","no_migration","no_migration",18,"ecotox"
"Lagodon rhomboides","M_C","MA_TH","C","no_migration","no_migration",19,"ecotox"
"Ictalurus punctatus","C_D","TH","C","no_migration","no_migration",20,"ecotox"
"Cyprinus carpio","C_D","TH","C_H_D","potamodromous","migration",21,"ecotox"
"Oncorhynchus tshawytscha","M_B_D","MP_TH","C","diadromous","migration",22,"ecotox"
"Oncorhynchus kisutch","M_B","MP_TH","C","diadromous","migration",23,"ecotox"
"Carassius auratus","C_D","TH","C_H_D","potamodromous","migration",25,"ecotox"
"Gammarus pseudolimnaeus","C","TH","D","no_migration","no_migration",27,"ecotox"
"Poecilia reticulata","A_C","TN","C","no_migration","no_migration",28,"ecotox"
"Lepomis cyanellus","C_D","TH","C","no_migration","no_migration",30,"ecotox"
"Perca flavescens","C_D","TH","C","no_migration","no_migration",38,"ecotox"
"Rutilus rutilus","C_D","TH","C_H_D","potamodromous","migration",42,"ecotox"
"Tinca tinca","C_D","TH","C_H_D","potamodromous","migration",43,"ecotox"
"Perca fluviatilis","C_D","TH","C","no_migration","no_migration",44,"ecotox"
"Daphnia hyalina","C_D","TH","P_D","no_migration","no_migration",48,"ecotox"
"Salmo trutta","M_C_D","MA_TH","C","diadromous","migration",49,"ecotox"
"Hyalella azteca","A_C_D","TH_TN","D_C","no_migration","no_migration",52,"ecotox"
"Simocephalus serrulatus","C_D","TH","P_D","no_migration","no_migration",54,"ecotox"
"Fundulus heteroclitus","M_D","MA_TH","C_H","no_migration","no_migration",57,"ecotox"
"Morone saxatilis","M_C_D","MA_TH","C","diadromous","migration",59,"ecotox"
"Carassius carassius","C_D","TH","C_H_D","potamodromous","migration",64,"ecotox"
"Lepomis humilis","C_D","TH","C","no_migration","no_migration",65,"ecotox"
"Salmo salar","M_D","MA_TH","C","diadromous","migration",68,"ecotox"
"Labidesthes sicculus","C_D","TH","C","potamodromous","migration",69,"ecotox"
"Mugil cephalus","M_C","MC_TH_TN","C","diadromous","migration",71,"ecotox"
"Poecilia latipinna","A_C","TN_TH","C","no_migration","no_migration",73,"ecotox"
"Salvelinus namaycush","D","TH","C","no_migration","no_migration",82,"ecotox"
"Petromyzon marinus","D_M","TH","D_C","diadromous","migration",84,"ecotox"
"Cyprinodon variegatus","A_C","TH_TN","C","no_migration","no_migration",86,"ecotox"
"Micropterus salmoides","C_D","TH","C","no_migration","no_migration",89,"ecotox"
"Oncorhynchus nerka","M_B","MP_TH","C","diadromous","migration",90,"ecotox"
"Lepomis microlophus","C","TH","C","no_migration","no_migration",96,"ecotox"
"Gasterosteus aculeatus","M","MA_MP_TH","C","amphidromous","migration",97,"ecotox"
"Pomoxis annularis","C_D","TH","C","no_migration","no_migration",100,"ecotox"
"Jordanella floridae","C","TH","C_H","no_migration","no_migration",101,"ecotox"
"Umbra pygmaea","D","TH","C","no_migration","no_migration",105,"ecotox"
"Micropterus dolomieu","C_D","TH","C","no_migration","no_migration",106,"ecotox"
"Notropis hudsonius","C_D","TH","C_H_D","potamodromous","migration",107,"ecotox"
"Oryzias latipes","A_C","TP_TH","C","amphidromous","migration",109,"ecotox"
"Oryzias latipes","A_C","TP_TH","C","amphidromous","migration",34398,"synonym"
"Notemigonus crysoleucas","C_D","TH","C_H","potamodromous","migration",112,"ecotox"
"Ptychocheilus oregonensis","C","TH","C","potamodromous","migration",123,"ecotox"
"Fundulus diaphanus","D","TH","C_H","no_migration","no_migration",124,"ecotox"
"Morone americana","M_C_D","MA_TH","C","diadromous","migration",125,"ecotox"
"Pleuronectes platessa","M","MA","C","oceanodromous","migration",129,"ecotox"
"Esox lucius","C_D","TH","C","potamodromous","migration",131,"ecotox"
"Limanda limanda","M","MA","C","oceanodromous","migration",132,"ecotox"
"Ameiurus melas","C_D","TH","O","no_migration","no_migration",133,"ecotox"
"Oreochromis mossambicus","A_B","TP_TH_TN","O","amphidromous","migration",134,"ecotox"
"Cyprinodon macularius","B","TH","C","no_migration","no_migration",135,"ecotox"
"Salvelinus malma","D","TH_MP","C","diadromous","migration",139,"ecotox"
"Americamysis bahia","M","MA","P","no_migration","no_migration",142,"ecotox"
"Notropis atherinoides","C_D","TH","C","potamodromous","migration",143,"ecotox"
"Alosa sapidissima","M_C_D","MA_TH","P","diadromous","migration",144,"ecotox"
"Chelon labrosus","M","MA","C","diadromous","migration",150,"ecotox"
"Daphnia longispina","C_D","TH","P_D","no_migration","no_migration",170,"ecotox"
"Chydorus sphaericus","C_D","TH","P_D","no_migration","no_migration",171,"ecotox"
"Eubosmina coregoni","C_D","TH","P_D","no_migration","no_migration",172,"synonym"
"Ceriodaphnia pulchella","C_D","TH","P_D","no_migration","no_migration",173,"ecotox"
"Acrocheilus alutaceus","D","TH","C_H","potamodromous","migration",195,"ecotox"
"Pimephales notatus","C_D","TH","C","potamodromous","migration",196,"ecotox"
"Ctenopharyngodon idella","B_C_D","TH","C_H","potamodromous","migration",201,"ecotox"
"Oncorhynchus gorbuscha","M_D","MP_TH","C","diadromous","migration",219,"ecotox"
"Dorosoma cepedianum","C_D_M","TH_MA","P","diadromous","migration",261,"ecotox"
"Coregonus clupeaformis","M_D","MA_TH","P_C","diadromous","migration",263,"ecotox"
"Coregonus hoyi","D","TH","P","no_migration","no_migration",264,"ecotox"
"Osmerus mordax","M","MP_MA","P_C","amphidromous","migration",270,"ecotox"
"Agosia chrysogaster","B","TH","H_C","diadromous","migration",274,"ecotox"
"Campostoma anomalum","C_D","TH","H","diadromous","migration",275,"ecotox"
"Luxilus chrysocephalus","D","TH","C_H","potamodromous","migration",276,"ecotox"
"Rhinichthys atratulus","C_D","TH","D_H","potamodromous","migration",279,"ecotox"
"Catostomus catostomus","C","TH","C","no_migration","no_migration",282,"ecotox"
"Catostomus commersonii","B_C_D","TH","C","no_migration","no_migration",283,"synonym"
"Xiphophorus maculatus","A","TN","C_H","no_migration","no_migration",287,"ecotox"
"Culaea inconstans","D","TH","C","no_migration","no_migration",288,"ecotox"
"Ambloplites rupestris","C_D","TH","C","no_migration","no_migration",289,"ecotox"
"Lepomis megalotis","C_D","TH","C","no_migration","no_migration",290,"ecotox"
"Pomoxis nigromaculatus","C_D","TH","C","no_migration","no_migration",291,"ecotox"
"Etheostoma caeruleum","C_D","TH","C","no_migration","no_migration",292,"ecotox"
"Etheostoma spectabile","D","TH","C","no_migration","no_migration",293,"ecotox"
"Aplodinotus grunniens","C_D","TH","C","no_migration","no_migration",295,"ecotox"
"Palaemonetes pugio","M","MA","D_S","no_migration","no_migration",302,"ecotox"
"Menidia beryllina","M_C","MA_TH","C","amphidromous","migration",341,"ecotox"
"Homarus americanus","M","MA","D_C_S","no_migration","no_migration",346,"ecotox"
"Dicentrarchus labrax","M","MA","C","oceanodromous","migration",365,"ecotox"
"Gammarus pulex","C_D","TH","D","no_migration","no_migration",372,"ecotox"
"Menidia menidia","D_M","TH_MA","C","oceanodromous","migration",375,"ecotox"
"Phoxinus phoxinus","C_D","TH","D_H","potamodromous","migration",383,"ecotox"
"Chanos chanos","M","MI_MP_TP","B","amphidromous","migration",386,"ecotox"
"Penaeus japonicus","M","MP_MI_MA","D_S","no_migration","no_migration",388,"ecotox"
"Anguilla japonica","M_C","MP_TH","C","diadromous","migration",391,"ecotox"
"Thymallus arcticus","D_E","TH","C","no_migration","no_migration",400,"ecotox"
"Notopterus notopterus","A","TP","C","potamodromous","migration",407,"ecotox"
"Channa punctata","A","TP","C","potamodromous","migration",418,"ecotox"
"Fundulus grandis","M_C","MA_TH","C","no_migration","no_migration",433,"ecotox"
"Luxilus cornutus","D","TH","C_H","potamodromous","migration",466,"ecotox"
"Morone chrysops","C_D","TH","C","potamodromous","migration",468,"ecotox"
"Sander canadensis","C_D","TH","C","potamodromous","migration",469,"ecotox"
"Oreochromis niloticus","A_B","TP","H_P","potamodromous","migration",485,"ecotox"
"Oreochromis aureus","A_B","TP_TH_TN","O","no_migration","no_migration",493,"synonym"
"Archosargus probatocephalus","M","MA","C","no_migration","no_migration",499,"ecotox"
"Bosmina longirostris","C_D","TH","P_D","no_migration","no_migration",517,"ecotox"
"Channa striata","A","TP","C","potamodromous","migration",528,"ecotox"
"Cyclops vicinus","C_D","TH","P_C","no_migration","no_migration",561,"ecotox"
"Cynoscion nebulosus","M","MA","C","no_migration","no_migration",571,"ecotox"
"Anguilla anguilla","M_C","MA_TH","C","diadromous","migration",574,"ecotox"
"Alosa aestivalis","C_D_M","TH_MA","P","diadromous","migration",578,"ecotox"
"Homarus gammarus","M","MA","D_C_S","no_migration","no_migration",582,"ecotox"
"Enneacanthus gloriosus","C_D","TH","C","no_migration","no_migration",583,"ecotox"
"Asellus aquaticus","C_D","TH","D","no_migration","no_migration",609,"ecotox"
"Eurytemora affinis","M","MA","P","no_migration","no_migration",649,"ecotox"
"Amia calva","D_C","TH","C","no_migration","no_migration",650,"ecotox"
