"species_number","latin_name","source","am_d","Lb_cm","Lp_cm","Li_cm","Ri_#/d"
1,"Pimephales promelas","ecotox",1825,0.5,4.49,7.4,30
2,"Lepomis macrochirus","ecotox",3468,0.545,NA,22.9,219.2
3,"Salvelinus fontinalis","ecotox",8760,NA,15,86,13.7
4,"Oncorhynchus mykiss","ecotox",4015,NA,54,120,174
5,"Daphnia magna","ecotox",45,0.1,0.25,NA,NA
8,"Daphnia pulex","ecotox",54,0.07,0.16,0.4,7
10,"Carcinus maenas","ecotox",2190,NA,3.3,6.75,547.9
11,"Crangon crangon","ecotox",1825,0.2,5.8,7.4,NA
16,"Gambusia affinis","ecotox",1095,0.7,2.25,5.5,1.228
18,"Semotilus atromaculatus","ecotox",2920,NA,12,30.3,6.178
19,"Lagodon rhomboides","ecotox",2920,NA,13.1,40,246.6
20,"Ictalurus punctatus","ecotox",8760,1.1,33.8,132,177.1
21,"Cyprinus carpio","ecotox",13870,0.7,25.1,130,NA
22,"Oncorhynchus tshawytscha","ecotox",1460,3.47,68,150,NA
23,"Oncorhynchus kisutch","ecotox",1825,NA,77,108,NA
25,"Carassius auratus","ecotox",14960,NA,NA,48,260.7
27,"Gammarus pseudolimnaeus","ecotox",460,0.19,0.7,1.6,0.3699
28,"Poecilia reticulata","ecotox",912.5,0.7,NA,5,1.786
30,"Lepomis cyanellus","ecotox",3650,0.42,6.6,30,71.23
38,"Perca flavescens","ecotox",4015,NA,19.2,50,168.4
42,"Rutilus rutilus","ecotox",5110,NA,10.7,44,NA
43,"Tinca tinca","ecotox",7300,0.53,19.75,84,NA
44,"Perca fluviatilis","ecotox",8030,0.5,13,60,NA
48,"Daphnia hyalina","ecotox",65,0.06,0.116,0.263,4.706
49,"Salmo trutta","ecotox",3650,2,35,110,5.479
52,"Hyalella azteca","ecotox",480,0.102,0.28,0.915,1.02
57,"Fundulus heteroclitus","ecotox",1825,NA,4,15,1.403
59,"Morone saxatilis","ecotox",10950,NA,43.2,200,NA
64,"Carassius carassius","ecotox",3650,0.725,NA,50,1370
65,"Lepomis humilis","ecotox",2555,NA,3,17.7,12.88
68,"Salmo salar","ecotox",4748,2.825,NA,95,39.7
69,"Labidesthes sicculus","ecotox",730,NA,7,13,274
71,"Mugil cephalus","ecotox",2190,NA,35.4,89,3014
