"latin_name","species_number","source","amp_v","amp_kap","amp_p_M"
"Pimephales promelas",1,"ecotox",0.04251,0.9325,334.8
"Lepomis macrochirus",2,"ecotox",0.07027,0.7525,24.89
"Salvelinus fontinalis",3,"ecotox",0.02662,0.9361,77.17
"Oncorhynchus mykiss",4,"ecotox",0.03245,0.6192,343.9
"Daphnia magna",5,"ecotox",0.1858,0.5809,1200
"Daphnia pulex",8,"ecotox",0.04889,0.4378,1599
"Carcinus maenas",10,"ecotox",0.02355,0.9851,86.64
"Crangon crangon",11,"ecotox",0.01267,0.6388,184.9
"Gambusia affinis",16,"ecotox",0.02428,0.9096,132
"Semotilus atromaculatus",18,"ecotox",0.0155,0.9597,15.26
"Lagodon rhomboides",19,"ecotox",0.02035,0.9,20.76
"Ictalurus punctatus",20,"ecotox",0.0538,0.9944,50.92
"Cyprinus carpio",21,"ecotox",0.01498,0.3392,364.5
"Oncorhynchus tshawytscha",22,"ecotox",0.08592,0.5701,21.44
"Oncorhynchus kisutch",23,"ecotox",0.04941,0.9428,597.1
"Carassius auratus",25,"ecotox",0.1124,0.9576,17.37
"Gammarus pseudolimnaeus",27,"ecotox",0.0151,0.9133,124
"Poecilia reticulata",28,"ecotox",0.009554,0.5085,59.01
"Lepomis cyanellus",30,"ecotox",0.07458,0.9924,19.36
"Perca flavescens",38,"ecotox",0.01836,0.6415,82.76
"Rutilus rutilus",42,"ecotox",0.02073,0.9356,14.04
"Tinca tinca",43,"ecotox",0.01196,0.5689,11.14
"Perca fluviatilis",44,"ecotox",0.06607,0.8764,12.47
"Daphnia hyalina",48,"ecotox",0.08,0.59,1600
"Salmo trutta",49,"ecotox",0.2191,0.9681,80.76
"Hyalella azteca",52,"ecotox",0.01708,0.8754,285.3
"Simocephalus serrulatus",54,"ecotox",0.04701,0.935,1800
"Fundulus heteroclitus",57,"ecotox",0.05731,0.8671,11.09
"Morone saxatilis",59,"ecotox",0.02482,0.8379,428.3
"Carassius carassius",64,"ecotox",0.02314,0.9769,52.48
"Lepomis humilis",65,"ecotox",0.01896,0.947,10.62
"Salmo salar",68,"ecotox",0.02978,0.4175,13.95
"Labidesthes sicculus",69,"ecotox",0.0181,0.3224,490
"Mugil cephalus",71,"ecotox",0.02118,0.9312,19.35
"Poecilia latipinna",73,"ecotox",0.0271,0.9888,451.9
"Salvelinus namaycush",82,"ecotox",0.02438,0.989,35.57
"Petromyzon marinus",84,"ecotox",0.01932,0.8814,17.96
"Cyprinodon variegatus",86,"ecotox",0.03984,0.9925,101.7
"Micropterus salmoides",89,"ecotox",0.1413,0.9708,14.63
"Oncorhynchus nerka",90,"ecotox",0.09736,0.9758,52.38
"Lepomis microlophus",96,"ecotox",0.01651,0.9079,280.9
"Gasterosteus aculeatus",97,"ecotox",0.07262,0.9844,116.1
"Pomoxis annularis",100,"ecotox",0.01992,0.6018,15.74
"Jordanella floridae",101,"ecotox",0.02689,0.6158,160.3
"Umbra pygmaea",105,"ecotox",0.0246,0.5362,26.35
"Micropterus dolomieu",106,"ecotox",0.01411,0.9979,18.76
"Notropis hudsonius",107,"ecotox",0.02157,0.9107,19.58
"Oryzias latipes",109,"ecotox",0.01056,0.4705,364
